ID;Catégorie Réelle;Secteur Futuriste;Titre Futuriste (SF);;Description Narrative (SF);Objectif / Action Réelle;Description Réelle;Économie CO2 (kg);Économie Eau (L);Économie Déchets (kg);Gain HP / IT
36;Eau;Bouclier Hydrique;Mission : Couper l’‘eau quand on se savonne les mains;36-Couper l’‘eau quand on se savonne les mains;Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Couper l’‘eau quand on se savonne les mains**;Couper l’‘eau quand on se savonne les mains;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";0;12.6;0;13
105;Eau;Bouclier Hydrique;Stabilisation des Réserves Hydriques;105-Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Une fuite critique menace le bouclier hydrique de l'Arche. Fermez le robinet pendant tout le brossage des dents.;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;28;0.1;28;0;28
82;Transport;Vecteur de Mobilité;Arrêt Anti-Gaspillage;82-Couper le moteur de la voiture quand elle ne roule pas;Le ralenti gaspille du carburant inutilement. Coupez le moteur dès que le véhicule est à l'arrêt.;Couper le moteur de la voiture quand elle ne roule pas;0;1.5;0;0;2
33;Transport;Vecteur de Mobilité;Mission : Couper le moteur quand on ne roule pas;33-Couper le moteur quand on ne roule pas;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Couper le moteur quand on ne roule pas**;Couper le moteur quand on ne roule pas;Cela ne sert à rien de laisser tourner son moteur quand on est arrêté. Tant pis s’il fait froid dans la voiture l’hiver ou s’il fait trop chaud l’été : on gaspille de l’essence en laissant son moteur allumé pour avoir du chauffage ou de la climatisation et on produit aussi plus de pollution, ce qui contribue au réchauffement climatique.;1.5;0;0;2
226;Electricité;Secteur Electricité;Optimisation Thermique des Cuissons;226-Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Couvrir les casseroles réduit les pertes énergétiques. Activez ce protocole à chaque cuisson.;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;0;0;0;0;10
182;Biodiversité;Biosphère & Faune;Protocole Nourriture Aviaire;182-Donner à manger aux oiseaux dans son jardin ou sur son balcon;Les drones aviaires de reconnaissance manquent de carburant biologique. Activez le protocole de ravitaillement en plaçant de la nourriture pour les oiseaux dans votre zone de contrôle terrestre.;Donner à manger aux oiseaux dans son jardin ou sur son balcon;0;0;0;0;10
14;Déchets;Recycleur Moléculaire;Mission : Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;14-Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter**;Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;;0;0;0.2;10
208;Déchets;Recycleur Moléculaire;Économie des Fibres Cellulosiques;208-Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;Les forêts sont menacées. Économisez mouchoirs, essuie-tout et papier toilette au maximum.;Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;0;0;0;0.8;1
20;Déchets;Recycleur Moléculaire;Mission : Emballer les cadeaux avec du tissu;20-Emballer les cadeaux avec du tissu;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Emballer les cadeaux avec du tissu**;Emballer les cadeaux avec du tissu;Cela évite de produire des déchets qui souvent ne sont pas recyclables. On peut acheter par exemple un gros pot de compote en verre au lieu d''acheter un paquet de 12 petites gourdes à jeter. On peut aussi utilser des sacs papier ou des filets réutilisables lorsque l''on fait ses courses au lieu d''utliser des sacs jetables.;0.4;0;0.7;1
24;Electricité;Secteur Electricité;Mission : Eteindre complètement les appareils (ne pas laisser sous veille);24-Eteindre complètement les appareils (ne pas laisser sous veille);Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Eteindre complètement les appareils (ne pas laisser sous veille)**;Eteindre complètement les appareils (ne pas laisser sous veille);Cela permet d''économiser de l''électricité. Les moyens de produire de l''électricité sont aussi dangereux pour la biodiversité : des animaux perdent leur habitat (poissons, oiseaux) du fait de la construction des barrages, éoliennes, puits de pétrole, centrales nucléaire). Les déchets des centrales nucléaires sont radioactifs et polluent la terre durablement;0.2;0;0;10
96;Electricité;Secteur Electricité;Mise en Veille Totale des Systèmes;96-Eteindre complétement les appareils électriques : téléphone. télévision. tablette… tous les soirs ou pour la journée lorsque je ne suis pas là;Les appareils en stand-by drainent le réacteur principal. Éteignez complètement tous les appareils électriques la nuit ou en votre absence.;Eteindre complétement les appareils électriques : téléphone. télévision. tablette… tous les soirs ou pour la journée lorsque je ne suis pas là;0;0.2;0;0;10
23;Electricité;Secteur Electricité;Mission : Eteindre la lumière quand on quitte la pièce;23-Eteindre la lumière quand on quitte la pièce;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Eteindre la lumière quand on quitte la pièce**;Eteindre la lumière quand on quitte la pièce;L''électricité est devenue indispensable à notre mode de vie (lumière, télévision, chauffage, ordinateur, téléphone…) mais produire de l''électricité est difficile et nécessite de modifier notre environnement et contribue à la pollution de l''air et au réchauffement climatique (barrages, éoliennes, puits de pétrole, centrales nucléaires);0;0;0;10
95;Electricité;Secteur Electricité;Furtivité Énergétique;95-Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;L'excès de photons signale notre position aux algorithmes traqueurs. Activez le mode furtif en éteignant systématiquement les lumières.;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;0;0;0;0;10
25;Electricité;Secteur Electricité;Mission : Eteindre la télé quand on ne la regarde pas;25-Eteindre la télé quand on ne la regarde pas;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Eteindre la télé quand on ne la regarde pas**;Eteindre la télé quand on ne la regarde pas;;0.2;0;1;1
98;Electricité;Secteur Electricité;Isolement Thermique pendant Ventilation;98-Eteindre le chauffage lorsqu’on aère une pièce;Aérer tout en laissant le chauffage actif est une fuite critique. Éteignez-le pendant l'aération.;Eteindre le chauffage lorsqu’on aère une pièce;0;0;0;0;10
86;Electricité;Secteur Electricité;Extinction des Interfaces Visuelles;86-Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Les écrans consomment une énergie critique. Éteignez-les dès qu'ils ne sont plus nécessaires.;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;0;0.2;0;1;1
30;Electricité;Secteur Electricité;Mission : Etendre le linge pour ne pas utiliser le sèche linge;30-Etendre le linge pour ne pas utiliser le sèche linge;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Etendre le linge pour ne pas utiliser le sèche linge**;Etendre le linge pour ne pas utiliser le sèche linge;;0.4;0;0;10
4;Courses;Secteur Courses;Mission : Faire des courses proches de chez soi;4-Faire des courses proches de chez soi;Les réplicateurs de biomasse sont en surchauffe totale ! Pour éviter l'explosion du réacteur gastrique de l'Arche, tu dois : **Faire des courses proches de chez soi**;Faire des courses proches de chez soi;On évite ainsi de la pollution en réduisant l''impact des transports polluants.;13.8;0;0;14
92;Déchets;Recycleur Moléculaire;Transformation en Bio-Engrais;92-Faire du compost avec les Déchetss végétaux ou donner les restes alimentaires aux poules…;Les déchets organiques sont une ressource perdue. Transformez-les en compost ou donnez-les aux unités aviaires.;Faire du compost avec les Déchetss végétaux ou donner les restes alimentaires aux poules…;0;0.1;0;1.8;2
81;Transport;Vecteur de Mobilité;Protocole Partage de Véhicule;81-Faire du covoiturage;Optimisez les déplacements en partageant les véhicules avec d'autres agents.;Faire du covoiturage;0;0.5;0;0;1
99;Electricité;Secteur Electricité;Sécheur Naturel Atmosphérique;99-Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;Le sèche-linge consomme trop d'énergie. Privilégiez le séchage à l'air libre.;Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;0;0.4;0;0;10
87;Courses;Secteur Courses;Activation du Synthétiseur Culinaire Personnel;87-Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Les plats préparés génèrent un excès de déchets d'emballage. Prenez le contrôle en préparant vous-même repas, goûters et compotes.;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;0;1.3;0;0.2;1
191;Courses;Secteur Courses;Fabrication Artisanale de Nectar;191-Faire soi-même ses jus de fruits pour éviter les bouteilles en plastique;Les conteneurs plastiques polluent les océans. Activez la production manuelle de jus de fruits pour éliminer les déchets plastiques.;Faire soi-même ses jus de fruits pour éviter les bouteilles en plastique;0;0;0;0.1;10
192;Courses;Secteur Courses;Synthèse Maison de Composés Nettoyants;192-Faire soi-même ses produits d’entretien pour éviter les emballages;Les emballages industriels saturent les recycleurs. Fabriquez vos propres produits d'entretien pour minimiser les déchets solides.;Faire soi-même ses produits d’entretien pour éviter les emballages;0;0;0;0;10
17;Déchets;Recycleur Moléculaire;Mission : Faire un compost;17-Faire un compost;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Faire un compost**;Faire un compost;On peut recycler les épluchures de fruits et de légumes, le marc de café, les brosses à dents en bambou... en faisant un compost : ils se transformeront en engrais pour les plantes;0.1;0;1.8;2
183;Biodiversité;Biosphère & Faune;Activation du Module Hydroponique;183-Faire un jardin potager;Le réacteur alimentaire de l'Arche est en sous-régime. Déployez un jardin potager pour booster la production locale de biomasse comestible.;Faire un jardin potager;0;4.5;0;0;4
27;Electricité;Secteur Electricité;Mission : Fermer le frigo;27-Fermer le frigo;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Fermer le frigo**;Fermer le frigo;;0;0;0;10
10;Déchets;Recycleur Moléculaire;Mission : Garder les restes de repas pour les manger un autre jour;10-Garder les restes de repas pour les manger un autre jour;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Garder les restes de repas pour les manger un autre jour**;Garder les restes de repas pour les manger un autre jour;Si on finit son assiette, on produit moins de déchets, et donc moins de pollution atmosphérique (incinérateurs) à moins d''avoir des poules qui mangeront nos restes. On fait aussi des économies;2.5;0;1.4;4
100;Electricité;Secteur Electricité;Régulation Climatique à 24°C;100-L'été, ne pas mettre la climatisation plus froide que 24°;La climatisation excessive surcharge le réseau. Maintenez-la à maximum 24°C en été.;L'été, ne pas mettre la climatisation plus froide que 24°;0;19.7;0;0;20
88;Déchets;Recycleur Moléculaire;Optimisation du Flux Papier;88-Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l’ardoise pour chercher / Prendre du papier recyclé…;Les forêts sont les poumons de l'Arche. Maximisez l'utilisation du papier (recto-verso, brouillons, ardoise, recyclé) pour préserver les ressources sylvestres.;Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l’ardoise pour chercher / Prendre du papier recyclé…;0;0;0;0.8;1
184;Biodiversité;Biosphère & Faune;Restriction Thermique Carnée Niveau 1;184-Manger de la viande de gros animaux une seule fois par jour (vache, porc, mouton);Les réacteurs à viande lourde surchauffent le noyau. Limitez la consommation de viande de gros animaux à une seule activation par cycle terrestre.;Manger de la viande de gros animaux une seule fois par jour (vache, porc, mouton);1500;5;1500;0;1505
103;Biodiversité;Biosphère & Faune;Restriction Thermique Protéique;103-Manger de la viande ou du poisson une seule fois par jour;Les protéines animales alourdissent le bilan énergétique du QG. Limitez viande ou poisson à une seule session nutritionnelle quotidienne.;Manger de la viande ou du poisson une seule fois par jour;800;6;800;0;806
185;Biodiversité;Biosphère & Faune;Restriction Thermique Carnée Niveau 2;185-Manger de la viande une seule fois par jour (volaille, gros animaux, ...);Le système digestif surcharge les filtres de l'Arche. Réduisez votre intake de viande (toute catégorie) à une seule fois par jour.;Manger de la viande une seule fois par jour (volaille, gros animaux, ...);1500;5.5;1500;0;1505
187;Biodiversité;Biosphère & Faune;Synthèse de Biomasse Végétale;187-Manger des repas végétarien 1 fois par jour;Les réplicateurs carnés surchargent le cœur du réacteur. Pour réduire l'empreinte thermique du QG, activez un repas 100% végétarien par cycle.;Manger des repas végétarien 1 fois par jour;0;1.3;0;0;1
3;Biodiversité;Biosphère & Faune;Mission : Manger moins de viande (manger du poisson ou des œufs);3-Manger moins de viande (manger du poisson ou des œufs);Le champ de stase de notre faune originelle s'effondre ! Pour sauver notre ADN source, ta mission de sauvetage est de : **Manger moins de viande (manger du poisson ou des œufs)**;Manger moins de viande (manger du poisson ou des œufs);;6;800;0;806
206;Déchets;Recycleur Moléculaire;Blocage des Signaux Publicitaires;206-Mettre un stop pub sur la boîte aux lettres;Les flux publicitaires inondent les canaux de communication. Installez un stop pub pour filtrer les intrusions.;Mettre un stop pub sur la boîte aux lettres;15;0.4;15;0.4;16
93;Déchets;Recycleur Moléculaire;Protocole Hydratation Durable;93-Ne pas acheter de bouteilles en plastique : boire à la gourde;Les bouteilles plastiques polluent les océans pour des millénaires. Activez la gourde réutilisable pour toutes vos missions d'hydratation.;Ne pas acheter de bouteilles en plastique : boire à la gourde;0;0.5;0;0.2;1
5;Courses;Secteur Courses;Mission : Ne pas acheter de produits contenant de l''huile de palme;5-Ne pas acheter de produits contenant de l''huile de palme;Les réplicateurs de biomasse sont en surchauffe totale ! Pour éviter l'explosion du réacteur gastrique de l'Arche, tu dois : **Ne pas acheter de produits contenant de l''huile de palme**;Ne pas acheter de produits contenant de l''huile de palme;Il faut arracher beaucoup d''arbres pour planter des palmeraies qui serviront à fabriquer de l''huile de palme. Et nous avons besoin des forêt pour la qualité de l''air que nous respirons. L''huile de palme est présente dans de nombreux produits alimentaires comme le Nutella . Heureuement, il existe maintenant plein de produits équivalents sans huile de palme!;0.1;0;0;10
80;Courses;Secteur Courses;Neutralisation Huile de Palmitique;80-Ne pas acheter des produits contenant de l'huile de palme;L'huile de palme corrode les écosystèmes tropicaux. Désactivez tout achat de produits contenant cet agent toxique.;Ne pas acheter des produits contenant de l'huile de palme;0;0.1;0;0;10
1;Biodiversité;Biosphère & Faune;Mission : Ne pas arracher les plantes;1-Ne pas arracher les plantes;Le champ de stase de notre faune originelle s'effondre ! Pour sauver notre ADN source, ta mission de sauvetage est de : **Ne pas arracher les plantes**;Ne pas arracher les plantes;Les fleurs sont butinées par les abeilles et les abeilles sont très utiles pour polliniser les arbres. Grâce à elles, nous avons des fruits à manger! Quant aux plantes, certaines servent de nourriture à un tas de petites bêtes herbivores ou de refuge à des insectes qui sont eux-mêmes de la nourriture pour les oiseaux.;0;0;0;10
106;Eau;Bouclier Hydrique;Contrôle du Flux Hydrique Manuel;106-Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Chaque seconde d'eau courante est une perte. Minimisez le temps d'écoulement lors du lavage des mains.;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;12.6;0;12.6;0;13
84;Déchets;Recycleur Moléculaire;Verrouillage Anti-Pollution;84-Ne pas jeter de Déchetss dans la nature (chewing-gums. sacs. canettes. bouteilles…);Les déchets abandonnés corrompent la biosphère. Neutralisez tout jet de déchets dans la nature.;Ne pas jeter de Déchetss dans la nature (chewing-gums. sacs. canettes. bouteilles…);0;0.4;0;4.5;5
11;Déchets;Recycleur Moléculaire;Mission : Ne pas jeter les déchets dans la nature;11-Ne pas jeter les déchets dans la nature;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Ne pas jeter les déchets dans la nature**;Ne pas jeter les déchets dans la nature;;0.4;0;4.5;5
101;Biodiversité;Biosphère & Faune;Préservation du Code Génétique Originel;101-Ne pas prélever d’espèces vivantes dans la nature (animaux ou plantes);Les bio-ingénieurs de l'Arche détectent une perturbation dans le flux vital planétaire. Votre mission : ne jamais prélever d'espèces vivantes dans la nature pour préserver l'intégrité du génome terrestre.;Ne pas prélever d’espèces vivantes dans la nature (animaux ou plantes);0;0;0;0;10
108;Eau;Bouclier Hydrique;Interdiction des Bains Immersifs;108-Ne pas prendre de bain;Les bains consomment des volumes critiques d'eau. Remplacez-les par des douches.;Ne pas prendre de bain;357;0.1;357;0;357
89;Déchets;Recycleur Moléculaire;Contrôle des Impulsions Acquisition;89-Ne pas trop acheter de choses quand on n’en a pas vraiment besoin (bien réfléchir à nos vrais besoins alimentaires ou autres).;Les impulsions d'achat surchargent les chaînes logistiques. Analysez vos vrais besoins avant toute acquisition.;Ne pas trop acheter de choses quand on n’en a pas vraiment besoin (bien réfléchir à nos vrais besoins alimentaires ou autres).;0;0;0;0.1;10
102;Biodiversité;Biosphère & Faune;Opération Sauvetage Micro-Écosystème;102-Ne pas tuer les araignées. les insectes (les mettre dehors…);Les sentinelles arachnides et insectoïdes sont des alliés cruciaux dans la guerre contre les toxines. Capturez-les vivants et expulsez-les hors de la base terrestre au lieu de les éliminer.;Ne pas tuer les araignées. les insectes (les mettre dehors…);0;0;0;0;10
2;Biodiversité;Biosphère & Faune;Mission : Ne pas tuer les petites bêtes;2-Ne pas tuer les petites bêtes;Le champ de stase de notre faune originelle s'effondre ! Pour sauver notre ADN source, ta mission de sauvetage est de : **Ne pas tuer les petites bêtes**;Ne pas tuer les petites bêtes;<a href=https://www.1jour1actu.com/monde/enfants-biodiversite>Cliquez ici afin de découvrir pourquoi il ne faut pas tuer les insectes</a><br> <p>La biodiversité est un équilibre indispensable pour maintenir la diversité du vivant. Si on ne respecte pas l''environnement, la biodiversité est en danger, l''équilibre est rompu, et cela veut dire que des espèces animales et végétales risquent de disparaître (insectes, plantes, poissons, oiseaux ...)</p>;0;0;0;10
217;Electricité;Secteur Electricité;Exploitation de la Lumière Solaire;217-Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Les capteurs solaires sont optimaux. Ouvrez les volets et utilisez la lumière naturelle avant d'activer l'éclairage artificiel.;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;0;0;0;0;10
224;Electricité;Secteur Electricité;Limitation des Flux de Données Vidéo;224-Passer moins de temps à regarder des vidéos sur internet;Les flux vidéo drainent la bande passante et l'énergie du QG. Réduisez votre temps d'exposition.;Passer moins de temps à regarder des vidéos sur internet;0;0;0;0;10
230;Transport;Vecteur de Mobilité;Mode Déplacement Humain;230-Préférer la marche ou le vélo plutôt que la voiture;Les moteurs à combustion polluent. Activez la marche ou le vélo comme mode principal.;Préférer la marche ou le vélo plutôt que la voiture;0;0.5;0;0;1
228;Transport;Vecteur de Mobilité;Activation du Transport Collectif;228-Préférer le bus plutôt que la voiture;Les véhicules individuels saturent l'atmosphère. Privilégiez le bus pour vos déplacements.;Préférer le bus plutôt que la voiture;0;0.3;0;0;10
229;Transport;Vecteur de Mobilité;Déploiement des Transports Guidés;229-Préférer le métro/tramway plutôt que la voiture;Les rails collectifs sont plus efficaces. Choisissez métro ou tramway.;Préférer le métro/tramway plutôt que la voiture;0;0.7;0;0;1
232;Transport;Vecteur de Mobilité;Transition vers les Corridors Terrestres;232-Préférer le train à l'avion;Les avions ont une empreinte carbone massive. Privilégiez le train pour les longs trajets.;Préférer le train à l'avion;0;18.2;0;0;18
220;Electricité;Secteur Electricité;Déploiement d'Ampoules à Efficacité Maximale;220-Préférer les ampoules à basse consommation;Les ampoules classiques gaspillent l'énergie. Remplacez-les par des modèles à basse consommation.;Préférer les ampoules à basse consommation;0;0.1;0;0;10
221;Electricité;Secteur Electricité;Cycle Énergétique des Accumulateurs;221-Préférer les piles rechargeables;Les piles jetables saturent les décharges toxiques. Utilisez exclusivement des piles rechargeables.;Préférer les piles rechargeables;0;0.1;0;0;10
104;Eau;Bouclier Hydrique;Protocole Douche Éclair;104-Prendre des douches rapides;L'eau chaude est une ressource rare. Limitez vos douches à une durée minimale.;Prendre des douches rapides;224;0.3;224;0;224
34;Eau;Bouclier Hydrique;Mission : Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne;34-Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne;Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne**;Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";0.3;224;0;224
38;Eau;Bouclier Hydrique;Mission : Prendre seulement 1 bain par semaine;38-Prendre seulement 1 bain par semaine;Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Prendre seulement 1 bain par semaine**;Prendre seulement 1 bain par semaine;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";0.1;357;0;357
90;Déchets;Recycleur Moléculaire;Maintenance Prolongée des Artefacts;90-Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Chaque objet est une ressource précieuse de l'Arche. Entretenez vos affaires pour maximiser leur durée de vie opérationnelle.;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);0;0;0;0.2;10
