action_originale;mission_titre;description
Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Maintenance Prolongée des Artefacts;Chaque objet est une ressource précieuse de l'Arche. Entretenez vos affaires pour maximiser leur durée de vie opérationnelle.
Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Redistribution des Ressources Circulaires;Les objets inutilisés encombrent les modules de stockage. Vendez ou donnez-les pour réinjecter les ressources dans le circuit.
Utiliser les bacs de tri;Activation du Tri Sélectif;Les recycleurs de l'Arche nécessitent un tri précis. Utilisez systématiquement les bacs de tri pour optimiser le recyclage.
Faire du compost avec les Déchetss végétaux ou donner les restes alimentaires aux poules…;Transformation en Bio-Engrais;Les déchets organiques sont une ressource perdue. Transformez-les en compost ou donnez-les aux unités aviaires.
Ne pas acheter de bouteilles en plastique : boire à la gourde;Protocole Hydratation Durable;Les bouteilles plastiques polluent les océans pour des millénaires. Activez la gourde réutilisable pour toutes vos missions d'hydratation.
Acheter des produits en vrac. éviter les emballages individuels…;Approvisionnement en Mode Vrac;Les emballages individuels saturent les décharges. Priorisez les achats en vrac pour réduire les déchets d'emballage.
Privilégier les achats d’objets recyclables (carton plutôt que plastique);Sélection Matériaux Recyclables;Le plastique non-recyclable obstrue les recycleurs. Choisissez prioritairement des objets en matériaux recyclables comme le carton.
Mettre un stop pub sur la boîte aux lettres;Blocage des Signaux Publicitaires;Les flux publicitaires inondent les canaux de communication. Installez un stop pub pour filtrer les intrusions.
Réduire son budget vêtement;Minimisation des Acquisitions Vestimentaires;Les textiles consomment trop de ressources. Réduisez votre budget vêtements pour alléger la charge logistique.
Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;Économie des Fibres Cellulosiques;Les forêts sont menacées. Économisez mouchoirs, essuie-tout et papier toilette au maximum.
Acheter des appareils électronique reconditionné à très forte composante électronique;Réactivation d'Unités Électroniques Avancées;Les nouvelles fabrications épuisent les mines rares. Optez pour des appareils reconditionnés à très forte composante électronique.
Acheter des appareils électronique reconditionné à forte composante électronique;Réactivation d'Unités Électroniques Niveau 1;Priorisez les appareils reconditionnés à forte composante électronique pour réduire l'empreinte minière.
Acheter des appareils électronique reconditionné à moyenne composante électronique;Réactivation d'Unités Électroniques Niveau 2;Choisissez des appareils reconditionnés à moyenne composante pour optimiser le cycle de vie.
Acheter des appareils électronique reconditionné à faible composante électronique;Réactivation d'Unités Électroniques Niveau 3;Optez pour du reconditionné à faible composante électronique.
Acheter des appareils électronique reconditionné à très faible composante électronique;Réactivation d'Unités Électroniques Niveau 4;Minimisez l'impact avec du reconditionné à très faible composante électronique.
Réduire son budget achat de mobiliers;Optimisation des Modules d'Habitation;Les nouveaux meubles consomment trop de ressources. Réduisez vos achats de mobiliers.
Réduire son budget achat de machine et équipements;Contrôle des Acquisitions Technologiques;Chaque nouvelle machine alourdit la charge énergétique. Réduisez les achats d'équipements.
Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;Furtivité Énergétique;L'excès de photons signale notre position aux algorithmes traqueurs. Activez le mode furtif en éteignant systématiquement les lumières.
Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Exploitation de la Lumière Solaire;Les capteurs solaires sont optimaux. Ouvrez les volets et utilisez la lumière naturelle avant d'activer l'éclairage artificiel.
Eteindre complétement les appareils électriques : téléphone. télévision. tablette… tous les soirs ou pour la journée lorsque je ne suis pas là;Mise en Veille Totale des Systèmes;Les appareils en stand-by drainent le réacteur principal. Éteignez complètement tous les appareils électriques la nuit ou en votre absence.
Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Extinction des Interfaces Visuelles;Les écrans consomment une énergie critique. Éteignez-les dès qu'ils ne sont plus nécessaires.
Préférer les ampoules à basse consommation;Déploiement d'Ampoules à Efficacité Maximale;Les ampoules classiques gaspillent l'énergie. Remplacez-les par des modèles à basse consommation.
Préférer les piles rechargeables;Cycle Énergétique des Accumulateurs;Les piles jetables saturent les décharges toxiques. Utilisez exclusivement des piles rechargeables.
Baisser le chauffage aux enérgies fossiles;Réduction du Flux Thermique Fossile;Les énergies fossiles déstabilisent le climat. Baissez le chauffage pour minimiser leur utilisation.
Eteindre le chauffage lorsqu’on aère une pièce;Isolement Thermique pendant Ventilation;Aérer tout en laissant le chauffage actif est une fuite critique. Éteignez-le pendant l'aération.
Passer moins de temps à regarder des vidéos sur internet;Limitation des Flux de Données Vidéo;Les flux vidéo drainent la bande passante et l'énergie du QG. Réduisez votre temps d'exposition.
Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;Sécheur Naturel Atmosphérique;Le sèche-linge consomme trop d'énergie. Privilégiez le séchage à l'air libre.
Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Optimisation Thermique des Cuissons;Couvrir les casseroles réduit les pertes énergétiques. Activez ce protocole à chaque cuisson.
L'été, ne pas mettre la climatisation plus froide que 24°;Régulation Climatique à 24°C;La climatisation excessive surcharge le réseau. Maintenez-la à maximum 24°C en été.
Préférer le bus plutôt que la voiture;Activation du Transport Collectif;Les véhicules individuels saturent l'atmosphère. Privilégiez le bus pour vos déplacements.
Préférer le métro/tramway plutôt que la voiture;Déploiement des Transports Guidés;Les rails collectifs sont plus efficaces. Choisissez métro ou tramway.
Préférer la marche ou le vélo plutôt que la voiture;Mode Déplacement Humain;Les moteurs à combustion polluent. Activez la marche ou le vélo comme mode principal.
Faire du covoiturage;Protocole Partage de Véhicule;Optimisez les déplacements en partageant les véhicules avec d'autres agents.
Préférer le train à l'avion;Transition vers les Corridors Terrestres;Les avions ont une empreinte carbone massive. Privilégiez le train pour les longs trajets.
Couper le moteur de la voiture quand elle ne roule pas;Arrêt Anti-Gaspillage;Le ralenti gaspille du carburant inutilement. Coupez le moteur dès que le véhicule est à l'arrêt.
Prendre des douches rapides;Protocole Douche Éclair;L'eau chaude est une ressource rare. Limitez vos douches à une durée minimale.
Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Stabilisation des Réserves Hydriques;Une fuite critique menace le bouclier hydrique de l'Arche. Fermez le robinet pendant tout le brossage des dents.
Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Contrôle du Flux Hydrique Manuel;Chaque seconde d'eau courante est une perte. Minimisez le temps d'écoulement lors du lavage des mains.
Tirer la petite chasse d’eau quand on fait pipi;Activation de la Chasse Économique;Les ressources hydriques sont précieuses. Utilisez systématiquement la petite chasse.
Ne pas prendre de bain;Interdiction des Bains Immersifs;Les bains consomment des volumes critiques d'eau. Remplacez-les par des douches.
Récupérer l’eau de pluie ou l’eau froide de la douche avant qu’elle chauffe pour arroser les plantes;Récupération des Eaux Grises;L'eau de pluie et l'eau froide de douche sont des ressources recyclables. Récupérez-les pour l'irrigation.
Vider le reste de sa gourde dans les plantes;Réinjection Hydrique Végétale;Ne gaspillez pas l'eau restante. Videz votre gourde dans les plantes pour recycler l'humidité.
