"ID";"Catégorie Réelle";"Secteur Futuriste";"Titre Futuriste (SF)";"Description Narrative (SF)";"Objectif / Action Réelle";"Description Réelle";"Économie CO2 (kg)";"Économie Eau (L)";"Économie Déchets (kg)";"Gain HP / IT"
"14";"Déchets";"Recycleur Moléculaire";"Mission : Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter**";"Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter";"";"0.0";"0.0";"0.2";"10"
"16";"Déchets";"Recycleur Moléculaire";"Mission : Utiliser les bacs de tri (noir, vert, jaune)";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Utiliser les bacs de tri (noir, vert, jaune)**";"Utiliser les bacs de tri (noir, vert, jaune)";"Trier les déchets permet de recycler tous les déchets qui peuvent l''être et de réduire ce qui est brûlé dans les incinérateurs et donc polluant pour l''air qu''on respire. De plus, on peut fabriquer des nouveaux produits avec ce qui est recyclé sans toucher à nos ressources naturelles <a href=""https://www.youtube.com/watch?v=k3Yfvq-HkFI"">Cliquez ici afin de découvrir pourquoi il faut acheter des objets recyclables</a>";"0.9";"0.0";"0.0";"1"
"17";"Déchets";"Recycleur Moléculaire";"Mission : Faire un compost";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Faire un compost**";"Faire un compost";"On peut recycler les épluchures de fruits et de légumes, le marc de café, les brosses à dents en bambou... en faisant un compost : ils se transformeront en engrais pour les plantes";"0.1";"0.0";"1.8";"2"
"18";"Déchets";"Recycleur Moléculaire";"Mission : Utiliser une gourde quand on veut boire dehors";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Utiliser une gourde quand on veut boire dehors**";"Utiliser une gourde quand on veut boire dehors";"L''eau du robinet est bonne à boire. On dit qu''elle est potable. Si on aime pas trop son goût, on peut la filtrer. On peut même la mettre au frigo si on aime boire de l''eau bien fraîche et on fait des économies.";"0.5";"0.0";"0.2";"1"
"20";"Déchets";"Recycleur Moléculaire";"Mission : Emballer les cadeaux avec du tissu";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Emballer les cadeaux avec du tissu**";"Emballer les cadeaux avec du tissu";"Cela évite de produire des déchets qui souvent ne sont pas recyclables. On peut acheter par exemple un gros pot de compote en verre au lieu d''acheter un paquet de 12 petites gourdes à jeter. On peut aussi utilser des sacs papier ou des filets réutilisables lorsque l''on fait ses courses au lieu d''utliser des sacs jetables.";"0.4";"0.0";"0.7";"1"
"23";"Electricité";"Secteur Electricité";"Mission : Eteindre la lumière quand on quitte la pièce";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Eteindre la lumière quand on quitte la pièce**";"Eteindre la lumière quand on quitte la pièce";"L''électricité est devenue indispensable à notre mode de vie (lumière, télévision, chauffage, ordinateur, téléphone…) mais produire de l''électricité est difficile et nécessite de modifier notre environnement et contribue à la pollution de l''air et au réchauffement climatique (barrages, éoliennes, puits de pétrole, centrales nucléaires)";"0.0";"0.0";"0.0";"10"
"24";"Electricité";"Secteur Electricité";"Mission : Eteindre complètement les appareils (ne pas laisser sous veille)";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Eteindre complètement les appareils (ne pas laisser sous veille)**";"Eteindre complètement les appareils (ne pas laisser sous veille)";"Cela permet d''économiser de l''électricité. Les moyens de produire de l''électricité sont aussi dangereux pour la biodiversité : des animaux perdent leur habitat (poissons, oiseaux) du fait de la construction des barrages, éoliennes, puits de pétrole, centrales nucléaire). Les déchets des centrales nucléaires sont radioactifs et polluent la terre durablement";"0.2";"0.0";"0.0";"10"
"25";"Electricité";"Secteur Electricité";"Mission : Eteindre la télé quand on ne la regarde pas";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Eteindre la télé quand on ne la regarde pas**";"Eteindre la télé quand on ne la regarde pas";"";"0.2";"0.0";"1.0";"1"
"26";"Electricité";"Secteur Electricité";"Mission : Utiliser les heures creuses";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Utiliser les heures creuses**";"Utiliser les heures creuses";"Mettre la température à 19 degrés permet de limiter la consommation d''énergie que ce soit de gaz, fioul ou électricité";"6.1";"0.0";"0.0";"6"
"27";"Electricité";"Secteur Electricité";"Mission : Fermer le frigo";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Fermer le frigo**";"Fermer le frigo";"";"0.0";"0.0";"0.0";"10"
"30";"Electricité";"Secteur Electricité";"Mission : Etendre le linge pour ne pas utiliser le sèche linge";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Etendre le linge pour ne pas utiliser le sèche linge**";"Etendre le linge pour ne pas utiliser le sèche linge";"";"0.4";"0.0";"0.0";"10"
"31";"Electricité";"Secteur Electricité";"Mission : Utiliser la climatisation ou de manière adaptée";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Utiliser la climatisation ou de manière adaptée**";"Utiliser la climatisation ou de manière adaptée";"Il faut beaucoup d''électricité pour produire du froid en été. Quand il fait trop chaud dehors, qu''il y a une canicule, il n''est pas utile de rafraîchir l''air à des températures inférieures à 24°.";"19.7";"0.0";"0.0";"20"
"1";"Biodiversité";"Biosphère & Faune";"Mission : Ne pas arracher les plantes";"Le champ de stase de notre faune originelle s'effondre ! Pour sauver notre ADN source, ta mission de sauvetage est de : **Ne pas arracher les plantes**";"Ne pas arracher les plantes";"Les fleurs sont butinées par les abeilles et les abeilles sont très utiles pour polliniser les arbres. Grâce à elles, nous avons des fruits à manger! Quant aux plantes, certaines servent de nourriture à un tas de petites bêtes herbivores ou de refuge à des insectes qui sont eux-mêmes de la nourriture pour les oiseaux.";"0.0";"0.0";"0.0";"10"
"2";"Biodiversité";"Biosphère & Faune";"Mission : Ne pas tuer les petites bêtes";"Le champ de stase de notre faune originelle s'effondre ! Pour sauver notre ADN source, ta mission de sauvetage est de : **Ne pas tuer les petites bêtes**";"Ne pas tuer les petites bêtes";"<a href=https://www.1jour1actu.com/monde/enfants-biodiversite>Cliquez ici afin de découvrir pourquoi il ne faut pas tuer les insectes</a><br> <p>La biodiversité est un équilibre indispensable pour maintenir la diversité du vivant. Si on ne respecte pas l''environnement, la biodiversité est en danger, l''équilibre est rompu, et cela veut dire que des espèces animales et végétales risquent de disparaître (insectes, plantes, poissons, oiseaux ...)</p>";"0.0";"0.0";"0.0";"10"
"3";"Biodiversité";"Biosphère & Faune";"Mission : Manger moins de viande (manger du poisson ou des œufs)";"Le champ de stase de notre faune originelle s'effondre ! Pour sauver notre ADN source, ta mission de sauvetage est de : **Manger moins de viande (manger du poisson ou des œufs)**";"Manger moins de viande (manger du poisson ou des œufs)";"";"6.0";"800.0";"0.0";"806"
"34";"Eau";"Bouclier Hydrique";"Mission : Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne";"Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne**";"Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne";"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";"0.3";"224.0";"0.0";"224"
"35";"Eau";"Bouclier Hydrique";"Mission : Couper l’‘eau quand on se brosse les dents et utiliser un gobelet";"Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Couper l’‘eau quand on se brosse les dents et utiliser un gobelet**";"Couper l’‘eau quand on se brosse les dents et utiliser un gobelet";"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";"0.1";"28.0";"0.0";"28"
"36";"Eau";"Bouclier Hydrique";"Mission : Couper l’‘eau quand on se savonne les mains";"Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Couper l’‘eau quand on se savonne les mains**";"Couper l’‘eau quand on se savonne les mains";"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";"0.0";"12.6";"0.0";"13"
"37";"Eau";"Bouclier Hydrique";"Mission : Choisir le bouton de la chasse d’‘eau selon ses besoins";"Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Choisir le bouton de la chasse d’‘eau selon ses besoins**";"Choisir le bouton de la chasse d’‘eau selon ses besoins";"";"0.0";"16.5";"0.0";"17"
"38";"Eau";"Bouclier Hydrique";"Mission : Prendre seulement 1 bain par semaine";"Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Prendre seulement 1 bain par semaine**";"Prendre seulement 1 bain par semaine";"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";"0.1";"357.0";"0.0";"357"
"39";"Eau";"Bouclier Hydrique";"Mission : Récupérer l’‘eau froide de la douche pour arroser les plantes";"Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Récupérer l’‘eau froide de la douche pour arroser les plantes**";"Récupérer l’‘eau froide de la douche pour arroser les plantes";"";"0.0";"35.0";"0.0";"35"
"81";"Transport";"Vecteur de Mobilité";"Protocole Partage de Véhicule";"Optimisez les déplacements en partageant les véhicules avec d'autres agents.";"Faire du covoiturage";"0";"0.5";"0.0";"0.0";"1"
"82";"Transport";"Vecteur de Mobilité";"Arrêt Anti-Gaspillage";"Le ralenti gaspille du carburant inutilement. Coupez le moteur dès que le véhicule est à l'arrêt.";"Couper le moteur de la voiture quand elle ne roule pas";"0";"1.5";"0.0";"0.0";"2"
"228";"Transport";"Vecteur de Mobilité";"Activation du Transport Collectif";"Les véhicules individuels saturent l'atmosphère. Privilégiez le bus pour vos déplacements.";"Préférer le bus plutôt que la voiture";"0";"0.3";"0.0";"0.0";"10"
"229";"Transport";"Vecteur de Mobilité";"Déploiement des Transports Guidés";"Les rails collectifs sont plus efficaces. Choisissez métro ou tramway.";"Préférer le métro/tramway plutôt que la voiture";"0";"0.7";"0.0";"0.0";"1"
"230";"Transport";"Vecteur de Mobilité";"Mode Déplacement Humain";"Les moteurs à combustion polluent. Activez la marche ou le vélo comme mode principal.";"Préférer la marche ou le vélo plutôt que la voiture";"0";"0.5";"0.0";"0.0";"1"
"232";"Transport";"Vecteur de Mobilité";"Transition vers les Corridors Terrestres";"Les avions ont une empreinte carbone massive. Privilégiez le train pour les longs trajets.";"Préférer le train à l'avion";"0";"18.2";"0.0";"0.0";"18"
"79";"Courses";"Secteur Courses";"Approvisionnement en Ressources Locales";"Les chaînes de transport interstellaire consomment trop d'énergie. Priorisez les produits locaux et de saison pour minimiser les sauts hyper-spatiaux.";"Acheter des produits locaux et de saison (hors serres chauffées) qui n’ont pas besoin d’être transportés";"0";"13.8";"0.0";"0.0";"14"
"80";"Courses";"Secteur Courses";"Neutralisation Huile de Palmitique";"L'huile de palme corrode les écosystèmes tropicaux. Désactivez tout achat de produits contenant cet agent toxique.";"Ne pas acheter des produits contenant de l'huile de palme";"0";"0.1";"0.0";"0.0";"10"
"87";"Courses";"Secteur Courses";"Activation du Synthétiseur Culinaire Personnel";"Les plats préparés génèrent un excès de déchets d'emballage. Prenez le contrôle en préparant vous-même repas, goûters et compotes.";"Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés";"0";"1.3";"0.0";"0.2";"1"
"190";"Courses";"Secteur Courses";"Cycle Saisonnier Optimal";"Les serres artificielles épuisent les réserves solaires. Achetez uniquement des fruits et légumes alignés sur le cycle naturel terrestre.";"Acheter des fruits ou légumes de saison";"0";"6.9";"0.0";"0.0";"7"
"191";"Courses";"Secteur Courses";"Fabrication Artisanale de Nectar";"Les conteneurs plastiques polluent les océans. Activez la production manuelle de jus de fruits pour éliminer les déchets plastiques.";"Faire soi-même ses jus de fruits pour éviter les bouteilles en plastique";"0";"0.0";"0.0";"0.1";"10"
"192";"Courses";"Secteur Courses";"Synthèse Maison de Composés Nettoyants";"Les emballages industriels saturent les recycleurs. Fabriquez vos propres produits d'entretien pour minimiser les déchets solides.";"Faire soi-même ses produits d’entretien pour éviter les emballages";"0";"0.0";"0.0";"0.0";"10"
"83";"Déchets";"Recycleur Moléculaire";"Protocole Zéro Gaspillage Alimentaire";"Chaque gramme gaspillé affaiblit les réserves de l'Arche. Mission : consommer intégralement tout ce qui est dans votre assiette.";"Tout manger ce qu’il y a dans nos assiettes (cantine/maison)";"0";"2.5";"0.0";"1.4";"4"
"84";"Déchets";"Recycleur Moléculaire";"Verrouillage Anti-Pollution";"Les déchets abandonnés corrompent la biosphère. Neutralisez tout jet de déchets dans la nature.";"Ne pas jeter de Déchetss dans la nature (chewing-gums. sacs. canettes. bouteilles…)";"0";"0.4";"0.0";"4.5";"5"
"85";"Déchets";"Recycleur Moléculaire";"Opération Nettoyage de Terrain";"Les nano-déchets terrestres menacent la pureté du sol. Ramassez et recyclez tous les déchets visibles autour de votre base.";"Ramasser les papiers et les Déchetss par terre pour les mettre à la poubelle";"0";"0.0";"0.0";"0.1";"10"
"88";"Déchets";"Recycleur Moléculaire";"Optimisation du Flux Papier";"Les forêts sont les poumons de l'Arche. Maximisez l'utilisation du papier (recto-verso, brouillons, ardoise, recyclé) pour préserver les ressources sylvestres.";"Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l’ardoise pour chercher / Prendre du papier recyclé…";"0";"0.0";"0.0";"0.8";"1"
"89";"Déchets";"Recycleur Moléculaire";"Contrôle des Impulsions Acquisition";"Les impulsions d'achat surchargent les chaînes logistiques. Analysez vos vrais besoins avant toute acquisition.";"Ne pas trop acheter de choses quand on n’en a pas vraiment besoin (bien réfléchir à nos vrais besoins alimentaires ou autres).";"0";"0.0";"0.0";"0.1";"10"
"90";"Déchets";"Recycleur Moléculaire";"Maintenance Prolongée des Artefacts";"Chaque objet est une ressource précieuse de l'Arche. Entretenez vos affaires pour maximiser leur durée de vie opérationnelle.";"Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…)";"0";"0.0";"0.0";"0.2";"10"
"91";"Déchets";"Recycleur Moléculaire";"Activation du Tri Sélectif";"Les recycleurs de l'Arche nécessitent un tri précis. Utilisez systématiquement les bacs de tri pour optimiser le recyclage.";"Utiliser les bacs de tri";"0";"0.9";"0.0";"0.0";"1"
"92";"Déchets";"Recycleur Moléculaire";"Transformation en Bio-Engrais";"Les déchets organiques sont une ressource perdue. Transformez-les en compost ou donnez-les aux unités aviaires.";"Faire du compost avec les Déchetss végétaux ou donner les restes alimentaires aux poules…";"0";"0.1";"0.0";"1.8";"2"
"93";"Déchets";"Recycleur Moléculaire";"Protocole Hydratation Durable";"Les bouteilles plastiques polluent les océans pour des millénaires. Activez la gourde réutilisable pour toutes vos missions d'hydratation.";"Ne pas acheter de bouteilles en plastique : boire à la gourde";"0";"0.5";"0.0";"0.2";"1"
"94";"Déchets";"Recycleur Moléculaire";"Approvisionnement en Mode Vrac";"Les emballages individuels saturent les décharges. Priorisez les achats en vrac pour réduire les déchets d'emballage.";"Acheter des produits en vrac. éviter les emballages individuels…";"0";"0.4";"0.0";"0.7";"1"
"200";"Déchets";"Recycleur Moléculaire";"Redistribution des Ressources Circulaires";"Les objets inutilisés encombrent les modules de stockage. Vendez ou donnez-les pour réinjecter les ressources dans le circuit.";"Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…)";"2500";"0.0";"2500.0";"0.0";"2500"
"205";"Déchets";"Recycleur Moléculaire";"Sélection Matériaux Recyclables";"Le plastique non-recyclable obstrue les recycleurs. Choisissez prioritairement des objets en matériaux recyclables comme le carton.";"Privilégier les achats d’objets recyclables (carton plutôt que plastique)";"0";"0.5";"0.0";"0.0";"10"
"206";"Déchets";"Recycleur Moléculaire";"Blocage des Signaux Publicitaires";"Les flux publicitaires inondent les canaux de communication. Installez un stop pub pour filtrer les intrusions.";"Mettre un stop pub sur la boîte aux lettres";"15";"0.4";"15.0";"0.4";"16"
"207";"Déchets";"Recycleur Moléculaire";"Minimisation des Acquisitions Vestimentaires";"Les textiles consomment trop de ressources. Réduisez votre budget vêtements pour alléger la charge logistique.";"Réduire son budget vêtement";"2500";"2.5";"2500.0";"0.1";"2503"
"208";"Déchets";"Recycleur Moléculaire";"Économie des Fibres Cellulosiques";"Les forêts sont menacées. Économisez mouchoirs, essuie-tout et papier toilette au maximum.";"Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette";"0";"0.0";"0.0";"0.8";"1"
"209";"Déchets";"Recycleur Moléculaire";"Réactivation d'Unités Électroniques Avancées";"Les nouvelles fabrications épuisent les mines rares. Optez pour des appareils reconditionnés à très forte composante électronique.";"Acheter des appareils électronique reconditionné à très forte composante électronique";"1500";"5.5";"1500.0";"1.5";"1507"
"210";"Déchets";"Recycleur Moléculaire";"Réactivation d'Unités Électroniques Niveau 1";"Priorisez les appareils reconditionnés à forte composante électronique pour réduire l'empreinte minière.";"Acheter des appareils électronique reconditionné à forte composante électronique";"800";"1.1";"800.0";"0.5";"802"
"211";"Déchets";"Recycleur Moléculaire";"Réactivation d'Unités Électroniques Niveau 2";"Choisissez des appareils reconditionnés à moyenne composante pour optimiser le cycle de vie.";"Acheter des appareils électronique reconditionné à moyenne composante électronique";"400";"0.9";"400.0";"0.3";"401"
"212";"Déchets";"Recycleur Moléculaire";"Réactivation d'Unités Électroniques Niveau 3";"Optez pour du reconditionné à faible composante électronique.";"Acheter des appareils électronique reconditionné à faible composante électronique";"100";"0.4";"100.0";"0.1";"100"
"213";"Déchets";"Recycleur Moléculaire";"Réactivation d'Unités Électroniques Niveau 4";"Minimisez l'impact avec du reconditionné à très faible composante électronique.";"Acheter des appareils électronique reconditionné à très faible composante électronique";"100";"0.1";"100.0";"0.0";"100"
"214";"Déchets";"Recycleur Moléculaire";"Optimisation des Modules d'Habitation";"Les nouveaux meubles consomment trop de ressources. Réduisez vos achats de mobiliers.";"Réduire son budget achat de mobiliers";"0";"5.0";"0.0";"0.1";"5"
"215";"Déchets";"Recycleur Moléculaire";"Contrôle des Acquisitions Technologiques";"Chaque nouvelle machine alourdit la charge énergétique. Réduisez les achats d'équipements.";"Réduire son budget achat de machine et équipements";"0";"5.8";"0.0";"0.0";"6"
"86";"Electricité";"Secteur Electricité";"Extinction des Interfaces Visuelles";"Les écrans consomment une énergie critique. Éteignez-les dès qu'ils ne sont plus nécessaires.";"Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité";"0";"0.2";"0.0";"1.0";"1"
"95";"Electricité";"Secteur Electricité";"Furtivité Énergétique";"L'excès de photons signale notre position aux algorithmes traqueurs. Activez le mode furtif en éteignant systématiquement les lumières.";"Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin";"0";"0.0";"0.0";"0.0";"10"
"96";"Electricité";"Secteur Electricité";"Mise en Veille Totale des Systèmes";"Les appareils en stand-by drainent le réacteur principal. Éteignez complètement tous les appareils électriques la nuit ou en votre absence.";"Eteindre complétement les appareils électriques : téléphone. télévision. tablette… tous les soirs ou pour la journée lorsque je ne suis pas là";"0";"0.2";"0.0";"0.0";"10"
"97";"Electricité";"Secteur Electricité";"Réduction du Flux Thermique Fossile";"Les énergies fossiles déstabilisent le climat. Baissez le chauffage pour minimiser leur utilisation.";"Baisser le chauffage aux enérgies fossiles";"0";"6.1";"0.0";"0.0";"6"
"98";"Electricité";"Secteur Electricité";"Isolement Thermique pendant Ventilation";"Aérer tout en laissant le chauffage actif est une fuite critique. Éteignez-le pendant l'aération.";"Eteindre le chauffage lorsqu’on aère une pièce";"0";"0.0";"0.0";"0.0";"10"
"99";"Electricité";"Secteur Electricité";"Sécheur Naturel Atmosphérique";"Le sèche-linge consomme trop d'énergie. Privilégiez le séchage à l'air libre.";"Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut";"0";"0.4";"0.0";"0.0";"10"
"100";"Electricité";"Secteur Electricité";"Régulation Climatique à 24°C";"La climatisation excessive surcharge le réseau. Maintenez-la à maximum 24°C en été.";"L'été, ne pas mettre la climatisation plus froide que 24°";"0";"19.7";"0.0";"0.0";"20"
"217";"Electricité";"Secteur Electricité";"Exploitation de la Lumière Solaire";"Les capteurs solaires sont optimaux. Ouvrez les volets et utilisez la lumière naturelle avant d'activer l'éclairage artificiel.";"Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet";"0";"0.0";"0.0";"0.0";"10"
